panel,run_id,condition,learning_rate,step,value_raw,value_plot,smoothed
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,13000,0.05927112326025963,0.059127422108972434,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,13200,0.05487590655684471,0.058702270553759664,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,13400,0.07107175886631012,0.05993921938501471,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,13600,0.058682121336460114,0.05981350958015925,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,13800,0.05451959744095802,0.05928411836623912,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,14000,0.060001060366630554,0.05935581256627826,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,14200,0.05715296044945717,0.05913552735459615,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,14400,0.05426717922091484,0.05864869254122802,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,14600,0.07030259072780609,0.05981408235988583,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,14800,0.05225346237421036,0.05905802036131828,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,15000,0.05661150440573692,0.05881336876576014,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,15200,0.05806088447570801,0.05873812033675493,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,15400,0.04944893717765808,0.057809202020845246,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,15600,0.052213188260793686,0.05724960064484009,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,15800,0.04866214841604233,0.05639085542196031,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,16000,0.05122678354382515,0.05587444823414679,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,16200,0.06071825325489044,0.05635882873622115,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,16400,0.05998614430427551,0.056721560293026586,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,16600,0.05688953772187233,0.056738358035911166,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,16800,0.056229934096336365,0.056687515641953685,true
