n_samples,scientific_name,dataset,median_length_pct_err,mean_length_pct_err,n
10,Bembidion rapidum,biorepo,1.4502277,1.2895544,4
10,Dicaelus elongatus,biorepo,1.4169704,1.4193356,15
10,Calosoma affine,biorepo,1.3999962,1.4957509,32
10,Cychrus tuberculatus,biorepo,1.3570969,1.6523602,16
10,Scaphinotus angulatus,biorepo,1.34956,1.34956,2
10,Carabus goryi,biorepo,1.2378865,1.3651254,5
10,Dicaelus sculptilis sculptilis,biorepo,1.2246943,1.1206012,11
10,Scaphinotus angusticollis,biorepo,1.2155521,1.6126838,18
10,Stereocerus rubripes,biorepo,1.1888343,1.3257139,8
10,Helluomorphoides texanus,biorepo,1.1739541,1.2845016,9
10,Dicaelus dilatatus,biorepo,1.1542695,1.6408323,35
10,Pterostichus (Abacidus) sp.,biorepo,1.1330919,1.6092193,16
10,Harpalus opacipennis,biorepo,1.1165959,1.6670604,12
10,Loricera pilicornis pilicornis,biorepo,1.1027807,1.1027807,1
10,Cyclotrachelus faber,biorepo,1.0770546,1.3162868,15
10,Poecilus cyanicolor,biorepo,1.0475017,1.0475017,1
10,Pterostichus novus,biorepo,1.0393218,1.5014025,10
10,Myas cyanescens,biorepo,0.95375323,1.2857466,4
10,Pasimachus depressus,biorepo,0.94492793,1.0580107,12
10,Sphaeroderus bicarinatus,biorepo,0.9425607,0.9162731,3
10,Sphaeroderus stenostomus lecontei,biorepo,0.9364974,1.131833,23
10,Metrius contractus,biorepo,0.88020664,1.223096,47
10,Carabus truncaticollis,biorepo,0.77832603,0.90280247,13
10,Carabus nemoralis nemoralis,biorepo,0.698723,1.03899,16
10,Pasimachus elongatus,biorepo,0.6834629,0.7812106,6
10,Calosoma scrutator,biorepo,0.57447857,0.67817867,13
10,Patrobus septentrionis,biorepo,0.54776305,0.54776305,1
10,Acupalpus hydropicus,biorepo,0.457686,0.457686,1
10,Elaphrus clairvillei,biorepo,0.39843935,0.39843935,1
10,Chlaenius aestivus,biorepo,0.38186145,0.38260293,4
10,Dyschirius globulosus,biorepo,0.2472074,0.2472074,1
10,Panagaeus fasciatus,biorepo,0.23405673,0.23405673,1
10,Blethisa catenaria,biorepo,0.114074975,0.114074975,1
15,Notiophilus aeneus,biorepo,42.277042,42.277042,2
15,Micrixys distincta,biorepo,10.552914,10.552914,1
15,Nebria trifaria,biorepo,6.3972735,6.3972735,1
15,Agonum corvus,biorepo,5.4090176,5.4090176,1
15,Galerita atripes,biorepo,5.3731117,5.8993115,29
15,Omus audouini,biorepo,5.289823,5.289823,1
15,Gastrellarius honestus,biorepo,4.6603513,4.6603513,1
15,Calathus advena,biorepo,4.4109917,4.4109917,1
15,Lophoglossus tartaricus,biorepo,4.257421,4.257421,1
15,Dromochorus pruininus,biorepo,3.980077,4.9354196,3
15,Brachinus americanus,biorepo,3.8672354,3.8672354,1
15,Agonum cupreum,biorepo,3.8168516,3.8168516,1
15,Piesmus submarginatus,biorepo,3.3794727,3.3794727,1
15,Gastrellarius blanchardi,biorepo,3.3387518,3.3387518,2
15,Apenes lucidula lucidula,biorepo,3.2968278,2.7822187,4
15,Carabus chamissonis,biorepo,3.0759935,3.0759935,2
15,Pasimachus californicus,biorepo,3.0373688,3.0373688,1
15,Brachinus alternans,biorepo,2.9413617,2.9413617,1
15,Cyclotrachelus brevoorti,biorepo,2.8921247,2.8921247,2
15,Cyclotrachelus alternans,biorepo,2.7868876,2.4213116,12
15,Loricera pilicornis pilicornis,biorepo,2.6499796,2.6499796,1
15,Dicheirus piceus,biorepo,2.621238,2.9039466,57
15,Harpalus amputatus amputatus,biorepo,2.409943,2.923091,3
15,Platynus ovipennis,biorepo,2.3491368,2.3491368,2
15,Notiophilus novemstriatus,biorepo,2.3059738,3.5011234,17
15,Galerita bicolor,biorepo,2.2954097,2.3158388,16
15,Leistus ferruginosus,biorepo,2.2626748,2.2626748,1
15,Discoderus robustus,biorepo,2.1924388,3.0238042,79
15,Poecilus cyanicolor,biorepo,2.1571813,2.1571813,1
15,Lebia vittata,biorepo,2.1411276,2.8921165,14
15,Dromochorus belfragei,biorepo,2.138804,2.8496776,5
15,Sphaeroderus canadensis canadensis,biorepo,2.136892,2.1869774,6
15,Elaphrus lapponicus,biorepo,2.063386,2.063386,2
15,Paraclivina bipustulata,biorepo,2.035264,2.035264,1
15,Cylindera unipunctata,biorepo,2.0286245,2.1135,4
15,Harpalus desertus,biorepo,1.9634949,2.764375,25
15,Axinopalpus biplagiatus,biorepo,1.9607062,2.4108586,10
15,Cratacanthus dubius,biorepo,1.9278251,2.4645283,55
15,Myas coracinus,biorepo,1.9251033,1.9251033,2
15,Piosoma setosum,biorepo,1.9215381,2.6288633,66
15,Scaphinotus andrewsii,biorepo,1.8646119,2.2954507,4
15,Scaphinotus angusticollis,biorepo,1.7823911,1.6905466,18
15,Diacheila polita,biorepo,1.7671274,1.7721113,13
15,Calathus gregarius,biorepo,1.7619766,2.4269943,15
15,Panagaeus fasciatus,biorepo,1.7477609,1.7477609,1
15,Amara angustatoides,biorepo,1.7328336,1.555413,11
15,Cicindela abdominalis,biorepo,1.7107377,1.7107377,1
15,Promecognathus crassus,biorepo,1.6829083,3.3297098,9
15,Carabus goryi,biorepo,1.6577104,1.7469647,5
15,Oxypselaphus pusillus,biorepo,1.631398,1.4346688,4
15,Dicaelus dilatatus,biorepo,1.614423,1.8217531,35
15,Amara crassispina,biorepo,1.6076034,1.5347583,29
15,Harpalus opacipennis,biorepo,1.5949795,1.9096895,12
15,Calosoma calidum,biorepo,1.5808206,1.9459352,34
15,Agonum retractum,biorepo,1.5764538,1.6935008,5
15,Calosoma affine,biorepo,1.5702952,1.7792146,32
15,Poecilus chalcites,biorepo,1.5473133,3.1318924,3
15,Lophoglossus haldemanni,biorepo,1.5335679,1.5335679,1
15,Sphaeroderus bicarinatus,biorepo,1.4729272,1.2913432,3
15,Harpalus amputatus,biorepo,1.4431846,1.6597085,42
15,Dyschirius globulosus,biorepo,1.4425124,1.4425124,1
15,Pterostichus (Abacidus) sp.,biorepo,1.430306,1.9099607,16
15,Omus californicus,biorepo,1.4035199,1.7130721,14
15,Cychrus tuberculatus,biorepo,1.3909129,2.1009662,16
15,Calosoma sponsa,biorepo,1.365671,1.2305605,7
15,Cymindis cribricollis,biorepo,1.3269444,2.1698658,31
15,Cyclotrachelus faber,biorepo,1.2898082,1.4436632,15
15,Dicaelus elongatus,biorepo,1.2741649,1.5815884,15
15,Elaphrus clairvillei,biorepo,1.1948082,1.1948082,1
15,Amara carinata,biorepo,1.16302,1.16302,2
15,Sphaeroderus stenostomus lecontei,biorepo,1.1598376,1.4284383,23
15,Stereocerus rubripes,biorepo,1.116579,1.492641,8
15,Dicaelus politus,biorepo,1.0373614,1.3470443,9
15,Scaphinotus angulatus,biorepo,1.0328625,1.0328625,2
15,Carabus truncaticollis,biorepo,1.0132947,1.0020438,13
15,Cymindis neglecta,biorepo,0.99847263,0.99847263,1
15,Pterostichus novus,biorepo,0.98360527,1.4008478,10
15,Dicaelus sculptilis sculptilis,biorepo,0.939802,1.3000351,11
15,Platynus decentis,biorepo,0.88125706,0.88125706,2
15,Metrius contractus,biorepo,0.8757277,1.3934902,47
15,Pasimachus elongatus,biorepo,0.8723638,0.83268064,6
15,Calosoma scrutator,biorepo,0.83761764,1.091163,13
15,Pasimachus depressus,biorepo,0.8354714,1.1010913,12
15,Patrobus septentrionis,biorepo,0.7020606,0.7020606,1
15,Carabus nemoralis nemoralis,biorepo,0.63471484,0.99383616,16
15,Bembidion rapidum,biorepo,0.6162801,1.0810118,4
15,Helluomorphoides texanus,biorepo,0.48121923,1.0292388,9
15,Myas cyanescens,biorepo,0.32449895,0.74589443,4
15,Acupalpus hydropicus,biorepo,0.28038052,0.28038052,1
15,Blethisa catenaria,biorepo,0.24664181,0.24664181,1
15,Chlaenius aestivus,biorepo,0.20128557,0.26125687,4
5,Notiophilus aeneus,biorepo,32.341896,32.341896,2
5,Micrixys distincta,biorepo,6.73326,6.73326,1
5,Omus audouini,biorepo,5.7528276,5.7528276,1
5,Galerita atripes,biorepo,5.3666463,5.8536897,29
5,Nebria trifaria,biorepo,5.2576833,5.2576833,1
5,Agonum corvus,biorepo,4.792412,4.792412,1
5,Lophoglossus tartaricus,biorepo,4.7374415,4.7374415,1
5,Calathus advena,biorepo,4.504181,4.504181,1
5,Gastrellarius honestus,biorepo,4.3246417,4.3246417,1
